x,y,size,category
277.5238095238095,29.61904761904762,21.0,large
332.93333333333334,36.666666666666664,15.0,large
108.46153846153847,38.26923076923077,26.0,large
228.3846153846154,50.38461538461539,13.0,small
204.1818181818182,102.81818181818181,11.0,small
141.06666666666666,129.86666666666667,15.0,small
373.44444444444446,136.94444444444446,18.0,large
51.23076923076923,138.23076923076923,13.0,small
291.1666666666667,139.41666666666666,12.0,small
175.41666666666666,160.75,12.0,small
246.21052631578948,162.42105263157896,19.0,large
162.66666666666666,201.66666666666666,12.0,small
141.8181818181818,234.45454545454547,11.0,small
288.07142857142856,242.28571428571428,14.0,large
144.53846153846155,252.30769230769232,26.0,large
220.15,252.3,20.0,large
336.8095238095238,255.04761904761904,21.0,large
114.2,256.2,20.0,large
60.75,260.4166666666667,12.0,small
349.5833333333333,274.0833333333333,12.0,small
67.6,285.6,15.0,small
177.1818181818182,299.27272727272725,22.0,large
415.6,312.44,25.0,large
398.1111111111111,326.3333333333333,9.0,small
158.3181818181818,338.09090909090907,22.0,large
464.27272727272725,339.6818181818182,22.0,large
361.3333333333333,344.75,12.0,small
364.5,365.15,20.0,large
65.86666666666666,390.46666666666664,15.0,small
129.93333333333334,395.4,15.0,small
243.38095238095238,410.0,21.0,large
263.64285714285717,435.57142857142856,14.0,small
436.06666666666666,455.4,15.0,small
295.5,466.2,20.0,large
464.3,474.4,20.0,large
