x,y,size,category
83.85714285714286,3.8095238095238093,21.0,large
1.75,11.666666666666666,12.0,small
104.66666666666667,11.222222222222221,9.0,small
155.47619047619048,18.904761904761905,21.0,large
24.428571428571427,25.5,14.0,small
412.10714285714283,28.392857142857142,28.0,large
273.96153846153845,32.57692307692308,26.0,large
276.75,40.25,8.0,small
154.21428571428572,49.57142857142857,14.0,small
280.8888888888889,51.666666666666664,9.0,small
287.6470588235294,54.0,17.0,large
280.1666666666667,63.611111111111114,18.0,large
297.5,62.5,12.0,combination
300.94444444444446,66.5,18.0,small
408.5,69.0,12.0,small
412.8095238095238,82.85714285714286,21.0,large
95.42105263157895,91.94736842105263,19.0,large
361.84615384615387,96.92307692307692,13.0,small
391.0,108.0,16.0,small
303.53846153846155,117.15384615384616,13.0,small
8.615384615384615,141.6153846153846,13.0,small
137.0,143.5,18.0,small
78.0,147.45454545454547,11.0,small
347.0833333333333,147.58333333333334,12.0,small
49.13333333333333,150.46666666666667,15.0,small
190.84615384615384,150.30769230769232,13.0,small
12.416666666666666,152.25,12.0,small
44.125,153.875,8.0,small
92.16666666666667,157.27777777777777,18.0,small
39.125,156.875,8.0,small
101.5,157.28571428571428,14.0,small
34.45,161.55,20.0,large
23.92,164.88,25.0,combination
186.33333333333334,164.22222222222223,9.0,small
167.33333333333334,174.33333333333334,12.0,small
243.6153846153846,182.76923076923077,13.0,small
398.25,187.3125,16.0,small
272.5,191.0,12.0,small
292.0,190.8,10.0,small
296.0,197.28571428571428,14.0,small
63.4,198.4,15.0,small
445.0,199.6153846153846,13.0,small
478.3636363636364,207.27272727272728,11.0,small
414.8,211.0,10.0,small
363.53846153846155,212.84615384615384,13.0,small
326.0625,214.9375,16.0,small
489.6363636363636,218.9090909090909,11.0,small
456.26666666666665,227.66666666666666,15.0,small
94.625,242.1875,16.0,small
305.0,243.0,23.0,large
487.4736842105263,255.6315789473684,19.0,large
77.4,256.4,15.0,small
71.5,257.5,12.0,small
278.4,263.6,15.0,small
82.46153846153847,276.15384615384613,13.0,small
409.8888888888889,279.72222222222223,18.0,large
255.69230769230768,280.7692307692308,13.0,small
285.46153846153845,283.15384615384613,13.0,small
325.1111111111111,288.6111111111111,18.0,large
338.15384615384613,291.53846153846155,13.0,small
310.5,294.5,14.0,small
487.25,314.6666666666667,12.0,small
224.92307692307693,321.6923076923077,13.0,small
451.77777777777777,325.1666666666667,18.0,large
506.5,333.5,14.0,small
17.0,343.73333333333335,15.0,small
124.66666666666667,344.5,12.0,small
315.8181818181818,344.27272727272725,11.0,small
192.5,360.5,12.0,small
421.05263157894734,365.63157894736844,19.0,large
340.45454545454544,367.3636363636364,11.0,small
491.6,376.0,15.0,small
58.0,378.0,9.0,small
27.90909090909091,384.6363636363636,11.0,small
166.2,397.1,10.0,small
236.8181818181818,423.90909090909093,11.0,small
267.8333333333333,427.0833333333333,12.0,small
364.6,427.6,15.0,small
24.0,434.5,12.0,small
49.45,460.5,20.0,large
373.5,459.0,12.0,small
296.42105263157896,461.10526315789474,19.0,large
150.5,466.0,8.0,small
147.33333333333334,471.5,12.0,small
14.285714285714286,472.35714285714283,14.0,small
75.0,474.15384615384613,13.0,small
467.42857142857144,478.42857142857144,14.0,small
123.38095238095238,487.3333333333333,21.0,large
359.3809523809524,489.95238095238096,21.0,large
486.46666666666664,492.53333333333336,30.0,combination
373.2,499.0,10.0,small
