x,y,size,category
14.44,27.48,25.0,large
420.7272727272728,29.681818181818183,22.0,large
209.84615384615384,36.53846153846154,13.0,small
341.4,39.4,20.0,large
229.9047619047619,42.38095238095238,21.0,large
312.45454545454544,44.81818181818182,22.0,large
95.8181818181818,45.27272727272727,11.0,small
22.65,57.2,20.0,large
277.6,56.86666666666667,15.0,small
79.44,59.8,25.0,large
500.6,63.32,25.0,large
409.05,98.7,20.0,large
304.8333333333333,107.11111111111111,18.0,large
17.0,125.8,10.0,small
118.65217391304348,140.91304347826087,23.0,large
383.25,143.9375,16.0,small
203.66666666666663,148.9047619047619,21.0,large
357.7826086956522,151.8695652173913,23.0,large
146.3181818181818,169.63636363636363,22.0,large
466.5,183.7,20.0,large
506.6666666666667,191.33333333333331,9.0,small
39.86666666666667,194.6,15.0,large
122.04761904761904,196.57142857142856,21.0,large
283.35714285714283,216.7142857142857,14.0,small
293.7142857142857,219.7619047619048,21.0,large
411.1923076923077,223.23076923076923,26.0,large
474.0,242.55555555555557,18.0,small
18.125,258.125,8.0,small
292.0952380952381,268.1904761904762,21.0,large
210.25,270.6666666666667,12.0,small
205.0,286.53333333333336,30.0,combination
410.4761904761905,297.2857142857143,21.0,large
226.5,313.8333333333333,12.0,small
438.3809523809524,339.8095238095238,21.0,large
223.66666666666663,350.75,12.0,small
151.27272727272728,370.6363636363636,11.0,small
448.5,382.875,8.0,small
193.15384615384616,394.46153846153845,13.0,small
335.57142857142856,407.3571428571428,14.0,small
446.4166666666667,408.3333333333333,12.0,small
352.06060606060606,422.030303030303,33.0,large
292.7894736842105,465.6315789473685,19.0,large
132.07692307692307,482.0,13.0,small
46.69230769230769,482.6923076923077,13.0,small
490.4583333333333,486.6666666666667,24.0,large
141.13636363636363,495.1363636363636,22.0,large
87.0,298.0,,small
