x,y,size,category
356.75,9.583333333333334,12.0,small
449.5,11.0,12.0,small
234.58823529411765,12.117647058823529,17.0,large
8.277777777777779,17.833333333333332,18.0,large
358.27272727272725,18.818181818181817,11.0,small
89.41176470588235,20.88235294117647,17.0,large
163.77777777777777,27.055555555555557,18.0,large
307.0,27.8,10.0,small
279.35714285714283,31.571428571428573,14.0,small
422.4117647058824,32.88235294117647,17.0,large
152.53333333333333,36.13333333333333,15.0,large
144.5,50.0,10.0,small
408.0,54.357142857142854,14.0,small
29.363636363636363,55.36363636363637,11.0,small
140.36363636363637,55.09090909090909,11.0,small
400.2857142857143,55.92857142857143,14.0,small
282.2,56.0,10.0,small
345.0,63.5,10.0,small
52.411764705882355,66.88235294117646,17.0,large
325.36842105263156,70.0,19.0,large
357.5,83.0,10.0,small
6.458333333333333,119.58333333333333,24.0,large
415.36842105263156,123.94736842105263,19.0,small
390.0,123.9090909090909,11.0,small
88.0,129.10526315789474,19.0,large
429.72727272727275,127.81818181818181,11.0,small
329.27272727272725,129.9090909090909,11.0,small
502.75,140.66666666666666,12.0,small
246.0,141.14285714285714,14.0,small
282.0833333333333,143.16666666666666,12.0,small
464.1666666666667,156.88888888888889,18.0,large
509.6363636363636,155.9090909090909,11.0,small
388.7692307692308,164.84615384615384,13.0,small
191.15384615384616,185.3846153846154,13.0,small
31.444444444444443,187.44444444444446,18.0,large
222.33333333333334,188.25,12.0,small
241.0909090909091,188.36363636363637,11.0,small
443.44,192.84,25.0,combination
303.7142857142857,193.52380952380952,21.0,large
510.09090909090907,195.36363636363637,11.0,small
14.25,200.41666666666666,12.0,small
67.6,209.6,10.0,small
202.7,210.2,10.0,small
88.8,212.5,10.0,small
52.55555555555556,232.72222222222223,18.0,large
469.0,234.5,12.0,small
45.5,243.5,12.0,small
93.33333333333333,245.25,12.0,small
259.65,246.0,20.0,large
66.73333333333333,247.93333333333334,15.0,small
241.71428571428572,251.07142857142858,14.0,small
46.94444444444444,255.11111111111111,18.0,small
201.57894736842104,268.94736842105266,19.0,large
212.0,279.5,12.0,small
409.1818181818182,283.27272727272725,11.0,small
213.95454545454547,286.22727272727275,22.0,small
120.5,290.0,18.0,large
397.3076923076923,290.84615384615387,13.0,small
220.3846153846154,298.53846153846155,13.0,small
212.84615384615384,308.38461538461536,13.0,small
378.75,310.15,20.0,large
81.5,312.2857142857143,14.0,small
111.63636363636364,320.54545454545456,11.0,small
217.23076923076923,322.38461538461536,13.0,small
102.8,323.7,10.0,small
160.54545454545453,324.6363636363636,11.0,small
223.85714285714286,338.4642857142857,28.0,combination
272.27777777777777,357.3888888888889,18.0,large
330.3809523809524,366.9047619047619,21.0,large
455.5833333333333,368.5,24.0,large
373.9230769230769,372.3076923076923,13.0,small
129.33333333333334,373.8888888888889,9.0,small
37.42857142857143,392.1904761904762,21.0,combination
329.8,390.9,10.0,small
43.285714285714285,392.0,7.0,small
315.82608695652175,400.3478260869565,23.0,large
377.53846153846155,401.3076923076923,13.0,small
165.94736842105263,405.1578947368421,19.0,large
265.05,410.9,20.0,large
486.5,426.1875,16.0,small
68.21428571428571,428.64285714285717,14.0,small
89.22222222222223,446.3888888888889,18.0,large
134.9090909090909,467.3636363636364,11.0,small
252.76923076923077,472.61538461538464,13.0,small
142.83333333333334,478.0833333333333,12.0,small
351.3076923076923,487.7692307692308,13.0,small
383.0,502.4166666666667,12.0,small
403.84615384615387,509.53846153846155,13.0,small
