x,y,size,category
259.55,13.0,20.0,large
65.5,19.0,12.0,small
163.58333333333334,41.0,12.0,small
175.0,41.833333333333336,12.0,small
344.7857142857143,42.357142857142854,14.0,small
333.90909090909093,44.63636363636363,11.0,small
182.6153846153846,45.38461538461539,13.0,small
367.25,53.666666666666664,12.0,small
297.22222222222223,54.333333333333336,9.0,small
375.3529411764706,71.47058823529412,17.0,small
144.41666666666666,80.08333333333333,12.0,small
223.72222222222223,86.11111111111111,18.0,large
125.6842105263158,105.42105263157895,19.0,large
281.2857142857143,104.0,7.0,small
36.38461538461539,118.61538461538461,13.0,small
213.66666666666666,119.11111111111111,9.0,small
396.3333333333333,122.25,12.0,small
382.0,126.5,12.0,small
125.45454545454545,130.36363636363637,11.0,small
305.6842105263158,137.42105263157896,19.0,large
354.57894736842104,139.26315789473685,19.0,large
219.8,148.1,10.0,small
166.05555555555554,150.88888888888889,18.0,large
385.7142857142857,162.07142857142858,14.0,small
323.55555555555554,164.5,18.0,large
461.7692307692308,194.76923076923077,13.0,small
299.7894736842105,211.05263157894737,19.0,large
106.94736842105263,221.21052631578948,19.0,large
189.25,233.41666666666666,12.0,small
48.56521739130435,241.30434782608697,23.0,combination
317.4375,243.0625,32.0,combination
241.0,244.5,12.0,small
273.3636363636364,249.54545454545453,11.0,small
176.72727272727272,256.1818181818182,11.0,small
85.63157894736842,258.63157894736844,19.0,large
342.0,266.8333333333333,12.0,small
169.625,267.75,16.0,small
181.88235294117646,275.4117647058824,17.0,large
166.3,280.0,10.0,small
98.125,289.875,8.0,small
460.8888888888889,291.1111111111111,9.0,small
330.4375,300.6875,16.0,small
268.9655172413793,304.3448275862069,29.0,large
88.33333333333333,306.0,18.0,large
263.9,314.9,10.0,small
379.72222222222223,321.1666666666667,18.0,large
233.26666666666668,323.3333333333333,15.0,large
399.0,324.0,17.0,large
494.5,327.72222222222223,18.0,large
336.7,331.3,10.0,small
319.3636363636364,366.54545454545456,11.0,small
438.1578947368421,370.05263157894734,19.0,small
461.1818181818182,377.72727272727275,11.0,small
98.95,382.75,20.0,large
211.57894736842104,386.10526315789474,19.0,large
473.8333333333333,394.5833333333333,12.0,small
15.529411764705882,418.47058823529414,17.0,small
24.11764705882353,417.5882352941176,17.0,small
112.11764705882354,422.5882352941176,17.0,small
333.4,426.9,10.0,small
466.75,430.8333333333333,12.0,small
352.09090909090907,439.6363636363636,11.0,small
364.36842105263156,441.63157894736844,19.0,small
210.36363636363637,461.09090909090907,11.0,small
472.8421052631579,465.8421052631579,19.0,large
375.0,472.5,16.0,small
193.33333333333334,478.25,12.0,small
384.2,484.9,10.0,small
465.5,485.7142857142857,14.0,small
345.5,495.5,18.0,large
447.1111111111111,498.6666666666667,9.0,small
