x,y,size,category
179.23076923076923,1.2307692307692308,13.0,small
223.1818181818182,1.4545454545454546,11.0,small
450.84615384615387,4.461538461538462,13.0,small
440.0833333333333,6.666666666666667,12.0,small
396.90909090909093,29.636363636363637,11.0,small
80.66666666666667,40.75,12.0,small
360.17391304347825,44.26086956521739,23.0,combination
231.3846153846154,52.61538461538461,13.0,small
177.69230769230768,60.76923076923077,13.0,small
157.72222222222223,68.88888888888889,18.0,large
178.66666666666666,68.88888888888889,9.0,small
211.0,71.35,20.0,large
180.15384615384616,75.84615384615384,13.0,small
310.6,87.46666666666667,15.0,small
500.3478260869565,90.56521739130434,23.0,large
481.5,97.6875,16.0,small
25.545454545454547,124.18181818181819,11.0,small
90.3,134.8,20.0,large
463.5,140.5,14.0,small
479.09090909090907,140.36363636363637,11.0,small
354.4736842105263,142.78947368421052,19.0,large
378.54545454545456,148.86363636363637,22.0,large
65.61538461538461,174.3846153846154,13.0,small
23.823529411764707,197.1764705882353,17.0,large
172.76923076923077,240.76923076923077,13.0,small
443.6818181818182,240.95454545454547,22.0,large
232.3913043478261,249.2173913043478,23.0,large
324.90909090909093,255.63636363636363,11.0,small
376.8888888888889,272.27777777777777,18.0,large
95.66666666666667,297.14285714285717,21.0,large
226.1578947368421,317.05263157894734,19.0,large
67.5,321.5,12.0,small
298.09090909090907,325.09090909090907,22.0,large
159.2,342.35,20.0,combination
468.94444444444446,344.77777777777777,18.0,large
444.6875,372.6875,16.0,small
409.75,377.6666666666667,12.0,small
138.15384615384616,384.53846153846155,13.0,small
509.8,385.0,10.0,small
144.58333333333334,393.25,12.0,small
131.71428571428572,402.42857142857144,14.0,small
336.6190476190476,409.04761904761904,21.0,large
441.3125,416.8125,16.0,small
231.27272727272728,435.27272727272725,11.0,small
254.28571428571428,436.23809523809524,21.0,large
447.1304347826087,436.7826086956522,23.0,large
288.1333333333333,442.4,15.0,small
160.64285714285714,444.7857142857143,14.0,small
475.1,450.55,20.0,large
355.5,451.5,12.0,small
61.25,453.625,16.0,large
365.46666666666664,465.8666666666667,15.0,small
314.05,468.1,20.0,large
85.36363636363636,472.54545454545456,11.0,small
270.4,474.3333333333333,15.0,small
68.63157894736842,478.5263157894737,19.0,large
89.2,486.0,10.0,small
139.33333333333334,493.1666666666667,18.0,large
8.4,499.6,15.0,small
395.9259259259259,502.25925925925924,27.0,large
257.7692307692308,506.0769230769231,26.0,large
