x,y,size,category
428.09090909090907,2.090909090909091,11.0,large
57.25,11.55,20.0,large
133.8421052631579,20.789473684210527,19.0,large
425.8888888888889,22.055555555555557,18.0,large
103.21739130434783,23.91304347826087,23.0,large
292.7692307692308,24.23076923076923,13.0,small
9.142857142857142,26.285714285714285,7.0,small
35.0,29.875,8.0,small
91.0,30.666666666666668,18.0,large
104.5,31.75,8.0,small
20.625,34.25,8.0,small
44.5,40.0,6.0,small
109.2,39.6,5.0,small
273.9375,54.5625,16.0,large
174.9090909090909,56.72727272727273,11.0,small
251.8125,56.9375,16.0,large
107.88888888888889,75.66666666666667,9.0,large
500.35714285714283,77.07142857142857,14.0,large
68.76470588235294,84.94117647058823,17.0,large
152.78947368421052,90.84210526315789,19.0,large
353.3076923076923,112.07692307692308,13.0,large
4.125,120.5,8.0,small
262.1578947368421,126.42105263157895,19.0,large
442.27272727272725,131.72727272727272,11.0,small
285.8,142.5,10.0,small
120.91666666666667,145.83333333333334,12.0,small
97.875,159.0,8.0,small
287.9,160.55,20.0,large
199.125,181.125,8.0,large
298.46666666666664,182.33333333333334,15.0,large
14.25,183.875,8.0,small
496.6666666666667,191.26666666666668,15.0,large
176.2,192.4,10.0,large
155.1,199.7,10.0,large
315.0,215.0,15.0,large
107.44444444444444,227.22222222222223,9.0,small
148.9375,228.3125,16.0,large
43.666666666666664,228.88888888888889,9.0,small
221.36363636363637,236.0909090909091,11.0,small
4.125,239.75,8.0,small
161.0,239.75,8.0,small
458.4166666666667,240.0,12.0,large
453.0,241.71428571428572,7.0,small
55.23529411764706,245.88235294117646,17.0,large
435.0,245.2,5.0,small
447.0,245.66666666666666,9.0,small
190.0,251.71428571428572,7.0,small
87.5,253.94444444444446,18.0,large
172.6,256.2,5.0,small
157.5,270.0,10.0,small
246.375,274.25,16.0,large
505.3333333333333,291.55555555555554,9.0,small
122.4,295.5,10.0,small
368.0,304.5,10.0,small
53.333333333333336,305.5,12.0,small
103.88888888888889,311.3333333333333,9.0,small
448.6,322.0,10.0,small
374.55555555555554,323.77777777777777,9.0,small
383.25,331.25,8.0,small
63.0,333.0,9.0,small
95.4,343.4,15.0,large
113.70588235294117,356.3529411764706,17.0,large
17.625,370.1875,16.0,large
321.8125,376.9375,16.0,large
175.8125,382.3125,16.0,large
7.714285714285714,386.42857142857144,7.0,small
475.5,411.8,10.0,small
77.66666666666667,424.3333333333333,12.0,small
20.384615384615383,425.61538461538464,13.0,large
344.2352941176471,431.2352941176471,17.0,large
135.27272727272728,432.72727272727275,11.0,small
181.78571428571428,437.7142857142857,14.0,large
425.875,439.875,8.0,small
484.61538461538464,441.2307692307692,13.0,large
136.0,442.375,16.0,large
414.45454545454544,442.6363636363636,11.0,small
42.0,444.0,8.0,small
471.0,457.5,12.0,small
475.4,460.8,5.0,small
34.875,466.875,8.0,small
478.8,468.4,5.0,small
353.125,471.125,8.0,small
481.42857142857144,475.42857142857144,7.0,small
412.90909090909093,479.3636363636364,11.0,small
482.8,481.4,5.0,small
89.66666666666667,485.8888888888889,9.0,small
264.3636363636364,485.6363636363636,11.0,small
480.07142857142856,490.2142857142857,14.0,large
504.1666666666667,489.8333333333333,6.0,small
447.8888888888889,494.3333333333333,9.0,small
105.88888888888889,498.6666666666667,9.0,small
111.5,509.6666666666667,12.0,large
320.0,509.5,10.0,large
